title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"m 6.6 - 52 km ene of kandrian, papua new guinea",6.6,2010-02-12 03:12:00,0,6,no alert,0,670,us,306,0.0,18.5,mwb,33.0,-6.001,149.977,"Kandrian, Papua New Guinea",Papua New Guinea
"m 7.8 - 215 km sw of sungai penuh, indonesia",7.8,2010-10-25 14:42:00,4,7,no alert,0,946,us,379,0.0,23.0,mwc,20.1,-3.487,100.082,"Sungai Penuh, Indonesia",Other
"m 6.7 - 97 km ssw of el huitusi, mexico",6.7,2010-10-21 17:53:00,5,5,no alert,0,776,us,352,0.0,50.3,mwc,13.0,24.696,-109.156,"El Huitusi, Mexico",Other
"m 7.0 - near the south coast of papua, indonesia",7.0,2010-09-29 17:11:00,8,5,no alert,0,772,us,271,0.0,15.1,mwc,26.0,-4.963,133.76,"Papua, Indonesia",Indonesia
m 7.1 - ecuador,7.1,2010-12-08 11:54:00,6,5,no alert,0,945,us,672,0.0,12.4,mwc,206.7,-1.266,-77.306,Ecuador,Ecuador
"m 7.3 - 33 km nw of port-vila, vanuatu",7.3,2010-10-08 05:23:00,7,7,no alert,0,850,us,405,0.0,20.2,mwc,25.0,-17.541,168.069,"Port-Vila, Vanuatu",Vanuatu
"m 7.0 - 72 km ese of kimbe, papua new guinea",7.0,2010-04-08 22:01:00,4,6,no alert,0,757,us,396,0.0,12.7,mww,44.0,-5.746,150.765,"Kimbe, Papua New Guinea",Papua New Guinea
"m 6.5 - 118 km ese of madang, papua new guinea",6.5,2010-04-08 07:15:00,5,4,no alert,0,659,us,403,0.0,11.1,mwc,220.0,-5.486,146.822,"Madang, Papua New Guinea",Papua New Guinea
"m 7.6 - 61 km w of bantogon, philippines",7.6,2010-07-23 22:51:00,5,3,no alert,0,902,us,340,0.0,15.1,mwc,578.0,6.497,123.48,"Bantogon, Philippines",Philippines
"m 7.3 - new britain region, papua new guinea",7.3,2010-07-18 13:34:00,8,7,no alert,0,831,us,397,0.0,18.2,mwc,35.0,-5.931,150.59,"New Britain region, Papua New Guinea",Papua New Guinea
"m 6.9 - 56 km se of kimbe, papua new guinea",6.9,2010-07-18 13:04:00,4,7,no alert,0,737,us,456,0.0,15.7,mwc,28.0,-5.966,150.428,"Kimbe, Papua New Guinea",Papua New Guinea
"m 6.6 - 30 km sse of ca?ete, chile",6.6,2010-07-14 08:32:00,6,7,no alert,0,753,us,295,0.0,52.8,mwc,22.0,-38.067,-73.31,"Ca?ete, Chile",Chile
"m 6.7 - 55 km wsw of kirakira, solomon islands",6.7,2010-06-26 05:30:00,5,6,no alert,0,696,us,392,0.0,18.7,mwc,35.0,-10.627,161.447,"Kirakira, Solomon Islands",Solomon Islands
"m 6.6 - 135 km sse of biak, indonesia",6.6,2010-06-16 03:58:00,0,7,no alert,0,670,us,309,0.0,25.0,mwc,10.5,-2.329,136.484,"Biak, Indonesia",Indonesia
"m 7.0 - 121 km sse of biak, indonesia",7.0,2010-06-16 03:16:00,3,7,no alert,0,755,us,307,0.0,18.1,mwc,18.0,-2.174,136.543,"Biak, Indonesia",Indonesia
"m 7.2 - 100 km wnw of sola, vanuatu",7.2,2010-05-27 17:14:00,5,6,no alert,0,804,us,327,0.0,11.7,mwc,31.0,-13.698,166.643,"Sola, Vanuatu",Vanuatu
"m 7.2 - 45 km ssw of meulaboh, indonesia",7.2,2010-09-05 05:59:00,5,6,no alert,0,918,us,611,0.0,20.6,mwc,38.0,3.748,96.018,"Meulaboh, Indonesia",Indonesia
"m 6.9 - 233 km nnw of qamdo, china",6.9,2010-04-13 23:49:00,6,9,no alert,0,773,us,410,0.0,14.9,mwc,17.0,33.165,96.548,"Qamdo, China",Russian Federation
"m 6.9 - 99 km wsw of kirakira, solomon islands",6.9,2010-11-04 09:40:00,4,5,no alert,0,740,us,399,0.0,12.1,mwc,21.0,-10.878,161.116,"Kirakira, Solomon Islands",Other
"m 7.8 - 75 km e of sinabang, indonesia",7.8,2010-06-04 22:15:00,0,7,no alert,0,936,us,352,0.0,19.2,mwc,31.0,2.383,97.048,"Sinabang, Indonesia",Indonesia
"m 6.6 - 217 km n of bamboo flat, india",6.6,2010-03-30 16:54:00,5,6,no alert,0,701,us,413,0.0,16.7,mwc,34.0,13.667,92.831,"Bamboo Flat, India",India
"m 6.7 - 52 km nnw of tom?, chile",6.7,2010-03-16 02:21:00,5,6,no alert,0,856,us,312,0.0,34.7,mwc,18.0,-36.217,-73.257,"Tom?, Chile",Other
"m 6.5 - 59 km ene of namie, japan",6.5,2010-03-14 08:08:00,6,5,no alert,0,810,us,491,0.0,27.0,mwc,32.0,37.745,141.59,"Namie, Japan",Other
"m 7.0 - 52 km nw of santa cruz, chile",7.0,2010-11-03 14:55:00,7,7,no alert,0,874,us,403,0.0,17.1,mwc,18.0,-34.326,-71.799,"Santa Cruz, Chile",Chile
"m 6.8 - 141 km w of bengkulu, indonesia",6.8,2010-05-03 16:07:00,4,6,no alert,0,717,us,401,0.0,23.2,mwc,26.0,-3.762,100.991,"Bengkulu, Indonesia",Indonesia
"m 6.6 - 23 km wnw of talcahuano, chile",6.6,2010-05-03 11:47:00,7,7,no alert,0,736,us,255,0.0,27.8,mwb,18.0,-36.665,-73.374,"Talcahuano, Chile",Chile
"m 6.5 - 48 km nw of sola, vanuatu",6.5,2010-04-03 14:02:00,0,4,no alert,0,650,us,426,0.0,18.7,mwb,176.0,-13.571,167.227,"Sola, Vanuatu",Vanuatu
"m 7.4 - 124 km w of lebu, chile",7.4,2010-02-27 08:01:00,0,5,no alert,0,842,us,409,0.0,17.6,mwc,35.0,-37.773,-75.048,"Lebu, Chile",Other
"m 6.8 - 127 km se of gizo, solomon islands",6.8,2010-05-01 12:15:00,3,6,no alert,0,713,us,338,0.0,15.0,mwc,15.4,-9.019,157.551,"Gizo, Solomon Islands",Other
"m 7.1 - 94 km se of gizo, solomon islands",7.1,2010-03-01 22:36:00,5,7,no alert,0,780,us,377,0.0,15.0,mwc,10.0,-8.783,157.354,"Gizo, Solomon Islands",Solomon Islands
"m 6.6 - 98 km se of gizo, solomon islands",6.6,2010-03-01 21:48:00,5,7,no alert,0,672,us,282,0.0,16.6,mwc,10.0,-8.726,157.487,"Gizo, Solomon Islands",Solomon Islands
"m 6.5 - 92 km n of iquique, chile",6.5,2009-11-13 03:05:00,6,7,no alert,0,698,us,390,0.0,17.7,mwc,27.0,-19.394,-70.321,"Iquique, Chile",Chile
"m 7.3 - 77 km ene of ba, fiji",7.3,2009-09-11 10:44:00,0,4,no alert,0,820,us,430,0.0,15.0,mwc,595.0,-17.239,178.331,"Ba, Fiji",Fiji
"m 6.6 - 29 km nnw of bima, indonesia",6.6,2009-08-11 19:41:00,7,6,no alert,0,677,us,305,0.0,20.4,mwc,18.0,-8.207,118.631,"Bima, Indonesia",Indonesia
"m 6.8 - 98 km nne of naze, japan",6.8,2009-10-30 07:03:00,0,6,no alert,0,711,us,424,0.0,21.4,mwc,34.0,29.218,129.782,"Naze, Japan",Other
"m 6.9 - 268 km wsw of tual, indonesia",6.9,2009-10-24 14:40:00,4,6,no alert,0,972,us,397,0.0,11.0,mwc,130.0,-6.133,130.385,"Tual, Indonesia",Indonesia
"m 6.8 - 188 km wnw of sola, vanuatu",6.8,2009-08-10 08:28:00,0,5,no alert,0,711,us,174,0.0,30.2,mwc,35.0,-13.298,165.91,"Sola, Vanuatu",Other
"m 7.4 - 143 km nw of sola, vanuatu",7.4,2009-07-10 23:13:00,0,7,no alert,0,842,us,314,0.0,20.2,mwc,31.1,-13.093,166.497,"Sola, Vanuatu",Vanuatu
"m 7.8 - 196 km nw of sola, vanuatu",7.8,2009-07-10 22:18:00,0,6,no alert,0,936,us,195,0.0,20.3,mwc,35.0,-12.517,166.382,"Sola, Vanuatu",Other
"m 7.7 - 148 km nw of sola, vanuatu",7.7,2009-07-10 22:03:00,4,7,no alert,0,916,us,283,0.0,23.2,mww,45.0,-13.006,166.51,"Sola, Vanuatu",Vanuatu
"m 6.6 - 49 km sse of sungai penuh, indonesia",6.6,2009-01-10 01:52:00,7,7,no alert,0,787,us,417,0.0,30.1,mwc,9.0,-2.482,101.524,"Sungai Penuh, Indonesia",Indonesia
"m 6.7 - 112 km wsw of padang, indonesia",6.7,2009-08-16 07:38:00,5,6,no alert,0,753,us,369,0.0,14.9,mwc,20.0,-1.479,99.49,"Padang, Indonesia",Indonesia
"m 6.6 - 244 km sse of tateyama, japan",6.6,2009-12-08 22:48:00,4,5,no alert,0,703,us,336,0.0,14.1,mwc,53.0,32.821,140.395,"Tateyama, Japan",Other
"m 6.7 - 190 km ese of kokopo, papua new guinea",6.7,2009-06-23 14:19:00,5,5,no alert,0,693,us,269,0.0,13.8,mwc,64.0,-5.157,153.782,"Kokopo, Papua New Guinea",Papua New Guinea
"m 7.6 - 191 km s of ??honua, tonga",7.6,2009-03-19 18:17:00,7,5,no alert,0,916,us,504,0.0,14.0,mwc,31.0,-23.043,-174.66,"??honua, Tonga",Other
"m 7.2 - 196 km sse of sarangani, philippines",7.2,2009-11-02 17:34:00,3,7,no alert,0,802,us,432,0.0,18.6,mwc,20.0,3.886,126.387,"Sarangani, Philippines",Indonesia
"m 7.4 - 86 km wnw of manokwari, indonesia",7.4,2009-03-01 22:33:00,7,7,no alert,0,846,us,314,0.0,21.1,mwc,23.0,-0.691,133.305,"Manokwari, Indonesia",Indonesia
"m 6.6 - 50 km s of jurm, afghanistan",6.6,2009-03-01 20:23:00,5,4,no alert,0,765,us,344,0.0,22.6,mwc,204.8,36.419,70.743,"Jurm, Afghanistan",Afghanistan
"m 7.7 - 140 km wnw of manokwari, indonesia",7.7,2009-03-01 19:43:00,5,7,no alert,0,918,us,288,0.0,29.8,mwc,17.0,-0.414,132.885,"Manokwari, Indonesia",Indonesia
"m 7.4 - 135 km nw of gorontalo, indonesia",7.4,2008-11-16 17:02:00,9,7,no alert,0,848,us,365,0.0,33.7,mww,30.0,1.271,122.091,"Gorontalo, Indonesia",Indonesia
